Sequence,metric,variant,lambda_rate,BPP,metric_value,on_internal_pareto_frontier
YachtRide,LPIPS,No_AdaptiveQuant,0.0018,0.27119860704838,0.4332985460758209,True
YachtRide,LPIPS,No_AdaptiveQuant,0.0067,0.1413080607598701,0.5256091256936392,False
YachtRide,LPIPS,No_AdaptiveQuant,0.025,0.0584546862472722,0.5082527468601863,False
YachtRide,LPIPS,No_CBAM,0.0018,0.0618958182315277,0.5031589135527611,False
YachtRide,LPIPS,No_CBAM,0.0067,0.4771844111313055,0.3526266813278198,True
YachtRide,LPIPS,No_CBAM,0.025,0.0141164905941535,0.485417366027832,False
YachtRide,DISTS,Baseline,0.0018,0.0057728692815627,0.5869025876124699,False
YachtRide,DISTS,Baseline,0.0067,0.0058030093363773,0.568357382218043,False
YachtRide,DISTS,Baseline,0.025,0.0047140809020157,0.5369433641433716,True
YachtRide,DISTS,Full_ATIC,0.0018,0.0264381222195095,0.6119680841763814,False
YachtRide,DISTS,Full_ATIC,0.0067,0.0173245605029196,0.6289684822161993,False
YachtRide,DISTS,Full_ATIC,0.025,0.0186590521227675,0.6494837611913681,False
YachtRide,DISTS,No_AdaptiveQuant,0.0018,0.27119860704838,0.3219815144936244,True
YachtRide,DISTS,No_AdaptiveQuant,0.0067,0.1413080607598701,0.6570221910874049,False
YachtRide,DISTS,No_AdaptiveQuant,0.025,0.0584546862472722,0.6074229627847672,False
YachtRide,DISTS,No_CBAM,0.0018,0.0618958182315277,0.6454332441091537,False
YachtRide,DISTS,No_CBAM,0.0067,0.4771844111313055,0.1806111454963684,True
YachtRide,DISTS,No_CBAM,0.025,0.0141164905941535,0.6248587985833486,False
YachtRide,MSE,Baseline,0.0018,0.0057728692815627,0.0611278160785635,False
YachtRide,MSE,Baseline,0.0067,0.0058030093363773,0.0254712914737562,True
YachtRide,MSE,Baseline,0.025,0.0047140809020157,0.0258592994262774,True
YachtRide,MSE,Full_ATIC,0.0018,0.0264381222195095,0.0238689449926217,False
YachtRide,MSE,Full_ATIC,0.0067,0.0173245605029196,0.0177124487857023,False
YachtRide,MSE,Full_ATIC,0.025,0.0186590521227675,0.026298425036172,False
YachtRide,MSE,No_AdaptiveQuant,0.0018,0.27119860704838,0.0069577541202306,True
YachtRide,MSE,No_AdaptiveQuant,0.0067,0.1413080607598701,0.0219884018413722,False
YachtRide,MSE,No_AdaptiveQuant,0.025,0.0584546862472722,0.0300779920692245,False
YachtRide,MSE,No_CBAM,0.0018,0.0618958182315277,0.0180420355560878,False
YachtRide,MSE,No_CBAM,0.0067,0.4771844111313055,0.0033171494258567,True
YachtRide,MSE,No_CBAM,0.025,0.0141164905941535,0.0157949156593531,True
